
 epochs   TRAIN_error   TEST_error
    1     0.5779448     0.5770757
    2     0.5779448     0.5770757
    3     0.5779448     0.5770757
    4     0.5779448     0.5770757
    5     0.5779448     0.5770757
    6     0.5779448     0.5770757
    7     0.5779448     0.5770757
    8     0.5779448     0.5770757
    9     0.5779448     0.5770757
   10     0.5779448     0.5770757
   11     0.5779448     0.5770757
   12     0.5779448     0.5770757
   13     0.5779448     0.5770757
   14     0.5779448     0.5770757
   15     0.5779448     0.5770757
   16     0.5779448     0.5770757
   17     0.5779448     0.5770757
   18     0.5779448     0.5770757
   19     0.5779448     0.5770757
   20     0.5779448     0.5770757
   21     0.5779448     0.5770757
   22     0.5779448     0.5770757
   23     0.5779448     0.5770757
   24     0.5779448     0.5770757
   25     0.5779448     0.5770757
   26     0.5779448     0.5770757
   27     0.5779448     0.5770757
   28     0.5779448     0.5770757
   29     0.5779448     0.5770757
   30     0.5779448     0.5770757
   31     0.5779448     0.5770757
   32     0.5779448     0.5770757
   33     0.5779448     0.5770757
   34     0.5779448     0.5770757
   35     0.5779448     0.5770757
   36     0.5779448     0.5770757
   37     0.5779448     0.5770757
   38     0.5779448     0.5770757
   39     0.5779448     0.5770757
   40     0.5779448     0.5770757
   41     0.5779448     0.5770757
   42     0.5779448     0.5770757
   43     0.5779448     0.5770757
   44     0.5779448     0.5770757
   45     0.5779448     0.5770757
   46     0.5779448     0.5770757
   47     0.5779448     0.5770757
   48     0.5779448     0.5770757
   49     0.5779448     0.5770757
   50     0.5779448     0.5770757
   51     0.5779448     0.5770757
   52     0.5779448     0.5770757
   53     0.5779448     0.5770757
   54     0.5779448     0.5770757
   55     0.5779448     0.5770757
   56     0.5779448     0.5770757
   57     0.5779448     0.5770757
   58     0.5779448     0.5770757
   59     0.5779448     0.5770757
   60     0.5779448     0.5770757
   61     0.5779448     0.5770757
   62     0.5779448     0.5770757
   63     0.5779448     0.5770757
   64     0.5779448     0.5770757
   65     0.5779448     0.5770757
   66     0.5779448     0.5770757
   67     0.5779448     0.5770757
   68     0.5779448     0.5770757
   69     0.5779448     0.5770757
   70     0.5779448     0.5770757
   71     0.5779448     0.5770757
   72     0.5779448     0.5770757
   73     0.5779448     0.5770757
   74     0.5779448     0.5770757
   75     0.5779448     0.5770757
   76     0.5779448     0.5770757
   77     0.5779448     0.5770757
   78     0.5779448     0.5770757
   79     0.5779448     0.5770757
   80     0.5779448     0.5770757
   81     0.5779448     0.5770757
   82     0.5779448     0.5770757
   83     0.5779448     0.5770757
   84     0.5779448     0.5770757
   85     0.5779448     0.5770757
   86     0.5779448     0.5770757
   87     0.5779448     0.5770757
   88     0.5779448     0.5770757
   89     0.5779448     0.5770757
   90     0.5779448     0.5770757
   91     0.5779448     0.5770757
   92     0.5779448     0.5770757
   93     0.5779448     0.5770757
   94     0.5779448     0.5770757
   95     0.5779448     0.5770757
   96     0.5779448     0.5770757
   97     0.5779448     0.5770757
   98     0.5779448     0.5770757
   99     0.5779448     0.5770757
  100     0.5779448     0.5770757
TRAIN ERROR =  0.5779448
TEST  ERROR =  0.5770757
VAL   ERROR =  0.5834545
 
